recipe,food_item,quantity
"Apple & linseed porridge","Oat, raw",100
"Apple & linseed porridge","Apple, Canada, pulp, raw",1
"Apple & linseed porridge","Milk, skimmed, UHT",500
"Apple & linseed porridge","Linseed oil",20
"Apple & linseed porridge","Cinnamon, powder",10
"Apple & linseed porridge","Yoghurt, plain (average)",150
"Baked eggs with spinach & tomato","Spinach, raw",100
"Baked eggs with spinach & tomato","Tomato pulp, canned",400
"Baked eggs with spinach & tomato","Egg, raw",4
"Mushroom & basil omelette","Tomato, raw",2
"Mushroom & basil omelette","Egg, raw",3
"Mushroom & basil omelette","Chive or spring onion, fresh",20
"Mushroom & basil omelette","Chanterelle or girolle mushroom, raw",300
"Mushroom & basil omelette","Fresh cream cheese, plain, fat free",50
"Mushroom & basil omelette","Butter, 82% fat, unsalted",10
"Mushroom & basil omelette","Basil, fresh",20
"Fruit & nut granola","Honey",70
"Fruit & nut granola","Syrup, maple",50
"Fruit & nut granola","Oat, raw",500
"Fruit & nut granola","Almond, peeled, unpeeled or blanched",100
"Fruit & nut granola","Pine nuts",50
"Fruit & nut granola","Sesame seed",20
"Fruit & nut granola","Raisin",50
"Fruit & nut granola","Date, pulp and peel, dried",85
"Fruit & nut granola","Apricot, pitted, dried",85
"Fruitburst muffins","Wheat flour, type 55 (for pastry)",225
"Fruitburst muffins","Egg, raw",2
"Fruitburst muffins","Baking powder or raising agent",10
"Fruitburst muffins","Butter, 82% fat, unsalted",50
"Fruitburst muffins","Milk, skimmed, UHT",175
"Fruitburst muffins","Honey",70
"Fruitburst muffins","Raisin",140
"Fruitburst muffins","Apricot, pitted, dried",140
"Fruitburst muffins","Cinnamon, powder",10
"Fruitburst muffins","Blueberry, raw",140
"Fruitburst muffins","Cranberry, raw",85
"Fruitburst muffins","Lemon zest, raw",15
